Round,Money,Initial Bet,BLACKJACK,WIN,DOUBLE_WIN,PUSH,DOUBLE_BUST,BUST,DOUBLE_LOSE,LOSE
1,10000.0,1.0,0,1,0,0,0,0,0,0
2,10001.0,1.0,0,0,0,0,0,0,1,0
3,9999.0,1.0,0,1,0,0,0,0,0,0
4,10000.0,1.0,0,0,0,0,0,0,1,0
5,9998.0,1.0,0,0,0,1,0,0,0,0
6,9998.0,1.0,0,0,0,0,0,0,0,2
7,9996.0,1.0,0,0,0,0,0,0,0,1
8,9995.0,1.0,0,0,1,0,0,0,0,0
9,9997.0,1.0,0,0,0,0,0,0,1,0
10,9995.0,1.0,0,0,0,0,0,0,1,0
11,9993.0,1.0,0,0,0,0,0,0,0,1
12,9992.0,1.0,0,1,0,0,0,0,0,0
13,9993.0,1.0,0,0,0,1,0,0,0,0
14,9993.0,1.0,0,0,0,0,0,0,0,1
15,9992.0,1.0,0,0,0,0,0,0,0,1
16,9991.0,1.0,0,0,0,0,0,0,0,1
17,9990.0,1.0,0,1,0,0,0,0,0,0
18,9991.0,1.0,0,1,0,0,0,0,0,0
19,9992.0,1.0,0,0,0,0,0,0,0,2
20,9990.0,1.0,0,1,0,0,0,0,0,0
21,9991.0,1.0,0,1,0,0,0,0,0,0
22,9992.0,1.0,0,1,0,0,0,0,0,0
23,9993.0,1.0,0,1,0,0,0,0,0,0
24,9994.0,1.0,0,0,0,0,0,0,0,1
25,9993.0,1.0,0,1,0,0,0,0,0,0
26,9994.0,1.0,0,0,0,0,0,1,0,0
27,9993.0,1.0,0,1,0,0,0,0,0,0
28,9994.0,1.0,1,0,0,0,0,0,0,0
29,9995.5,1.0,0,0,0,0,0,0,0,1
30,9994.5,1.0,0,0,0,0,0,0,0,1
31,9993.5,1.0,0,1,0,0,0,0,0,0
32,9994.5,1.0,0,1,0,0,0,0,0,0
33,9995.5,1.0,0,1,0,0,0,0,0,0
34,9996.5,1.0,0,0,0,0,0,0,0,1
35,9995.5,1.0,0,0,0,0,0,0,0,1
36,9994.5,1.0,0,0,1,0,0,0,0,0
37,9996.5,1.0,0,1,0,0,0,0,0,0
38,9997.5,1.0,0,0,0,0,0,0,0,1
39,9996.5,1.0,0,1,0,0,0,0,0,0
40,9997.5,1.0,0,0,0,0,0,0,0,1
41,9996.5,1.0,0,0,0,0,0,0,0,1
42,9995.5,1.0,0,0,0,0,0,0,0,1
43,9994.5,1.0,0,0,0,0,0,0,0,1
44,9993.5,1.0,0,0,0,1,0,0,0,0
45,9993.5,1.0,0,0,0,0,0,0,0,2
46,9991.5,1.0,0,1,0,0,0,0,0,0
47,9992.5,1.0,0,0,0,1,0,0,0,0
48,9992.5,1.0,0,0,0,1,0,0,0,0
49,9992.5,1.5,0,0,0,0,0,0,0,1
50,9991.0,1.75,0,1,0,0,0,0,0,0
51,9992.75,1.75,0,0,0,0,0,1,0,0
52,9991.0,1.5,0,0,0,0,0,0,0,1
53,9989.5,1.25,0,0,0,0,0,0,0,1
54,9988.25,2.0,0,0,0,0,0,0,0,1
55,9986.25,2.5,1,0,0,0,0,0,0,0
56,9990.0,2.0,0,1,0,1,0,0,0,0
57,9992.0,1.75,0,1,0,0,0,0,0,0
58,9993.75,1.5,0,0,0,0,0,0,0,1
59,9992.25,2.5,0,1,0,0,0,0,0,0
60,9994.75,2.25,0,1,0,0,0,0,0,0
61,9997.0,1.75,0,1,0,0,0,0,0,0
62,9998.75,2.0,0,1,0,0,0,0,0,0
63,10000.75,2.0,0,0,0,1,0,0,0,0
64,10000.75,2.5,0,0,0,0,0,1,0,0
65,9998.25,1.5,1,0,0,0,0,0,0,0
66,10000.5,1.0,0,1,0,0,0,0,0,0
67,10001.5,1.0,0,0,0,0,0,1,0,0
68,10000.5,1.0,0,1,0,0,0,0,0,0
69,10001.5,1.5,0,0,0,0,0,0,0,1
70,10000.0,2.0,0,0,0,0,0,0,0,1
71,9998.0,1.25,0,0,0,0,0,0,0,1
72,9996.75,3.75,0,1,0,0,0,0,0,0
73,10000.5,4.0,0,0,0,0,0,0,0,1
74,9996.5,4.75,0,1,0,0,0,0,0,0
75,10001.25,4.25,0,0,0,0,0,0,0,1
76,9997.0,5.0,0,1,0,0,0,0,0,0
77,10002.0,1.0,0,1,0,0,0,0,0,0
78,10003.0,1.0,0,0,0,0,0,1,0,0
79,10002.0,1.0,0,0,0,0,0,0,0,1
80,10001.0,1.0,0,1,0,0,0,0,0,0
81,10002.0,1.0,0,1,0,0,0,0,0,0
82,10003.0,1.0,0,0,0,0,0,0,0,1
83,10002.0,1.0,0,1,0,0,0,0,0,0
84,10003.0,1.0,0,0,0,0,0,0,0,2
85,10001.0,1.0,0,1,0,0,0,0,0,0
86,10002.0,1.0,0,0,0,0,0,0,0,1
87,10001.0,1.0,0,2,0,0,0,0,0,0
88,10003.0,1.0,0,0,0,0,0,0,0,1
89,10002.0,1.0,0,1,0,0,0,0,0,0
90,10003.0,1.0,1,0,0,0,0,0,0,0
91,10004.5,1.0,0,1,0,0,0,0,0,0
92,10005.5,1.0,0,1,0,0,0,0,0,0
93,10006.5,1.0,0,0,0,0,0,1,0,0
94,10005.5,1.0,0,0,0,0,0,0,0,1
95,10004.5,1.0,0,0,1,0,0,0,0,0
96,10006.5,1.0,0,0,0,0,0,0,0,1
97,10005.5,1.0,0,0,1,0,0,0,0,0
98,10007.5,1.0,0,0,0,0,0,0,0,1
99,10006.5,1.0,0,0,0,0,0,0,0,1
100,10005.5,1.0,0,0,0,1,0,0,0,0
101,10005.5,1.0,0,0,1,0,0,0,0,0
102,10007.5,1.0,0,0,0,0,0,0,0,1
103,10006.5,1.0,0,0,0,0,0,1,0,0
104,10005.5,1.0,0,1,0,0,0,0,0,0
105,10006.5,1.0,0,0,0,0,0,0,0,1
106,10005.5,1.0,0,0,0,0,0,0,0,1
107,10004.5,1.0,0,1,0,0,0,0,0,0
108,10005.5,1.0,0,0,0,1,0,0,0,0
109,10005.5,1.0,0,0,0,0,0,0,0,1
110,10004.5,1.0,0,0,0,0,0,0,1,0
111,10002.5,1.0,0,0,0,0,0,0,0,1
112,10001.5,1.0,0,1,0,0,0,0,0,0
113,10002.5,1.0,0,0,0,0,0,0,0,1
114,10001.5,1.0,0,1,0,0,0,0,0,0
115,10002.5,1.0,0,0,0,0,0,0,0,1
116,10001.5,1.0,0,0,0,0,0,0,0,1
117,10000.5,1.0,0,1,0,0,0,0,0,0
118,10001.5,1.0,1,0,0,0,0,0,0,0
119,10003.0,1.0,1,0,0,0,0,0,0,0
120,10004.5,1.0,0,0,0,0,0,0,0,1
121,10003.5,1.0,0,1,0,0,0,0,0,0
122,10004.5,1.0,0,1,0,0,0,0,0,0
123,10005.5,1.0,0,0,0,1,0,0,0,0
124,10005.5,1.0,0,0,0,0,0,0,0,1
125,10004.5,1.0,0,0,0,1,0,0,0,0
126,10004.5,1.0,0,1,0,0,0,0,0,0
127,10005.5,1.0,0,1,0,0,0,0,0,0
128,10006.5,1.0,0,0,0,1,0,0,0,0
129,10006.5,1.0,0,0,0,0,0,0,0,1
130,10005.5,1.0,0,0,0,0,0,0,0,1
131,10004.5,1.0,0,1,0,0,0,0,0,0
