Round,Money,Initial Bet,BLACKJACK,WIN,DOUBLE_WIN,PUSH,DOUBLE_BUST,BUST,DOUBLE_LOSE,LOSE
1,10000.0,1.0,0,0,0,0,0,0,0,1
2,9999.0,1.0,0,0,0,0,0,0,0,1
3,9998.0,1.0,0,0,0,0,0,0,0,1
4,9997.0,1.0,0,0,0,0,0,0,0,1
5,9996.0,1.0,0,1,0,0,0,0,0,0
6,9997.0,1.0,0,0,1,0,0,0,0,0
7,9999.0,1.0,0,1,0,0,0,0,0,0
8,10000.0,1.75,0,0,0,0,0,0,1,0
9,9996.5,3.25,0,1,0,0,0,0,0,0
10,9999.75,4.25,0,0,0,1,0,0,0,0
11,9999.75,3.0,0,0,1,0,0,0,0,0
12,10005.75,3.75,0,0,0,0,0,1,0,0
13,10002.0,4.0,0,0,0,0,0,1,0,0
14,9998.0,3.5,0,0,0,0,0,0,0,1
15,9994.5,3.5,0,0,0,1,0,0,0,0
16,9994.5,3.5,1,0,0,0,0,0,0,0
17,9999.75,1.75,0,1,0,0,0,0,0,0
18,10001.5,1.75,0,0,0,1,0,0,0,0
19,10001.5,2.75,0,0,0,0,0,0,1,0
20,9996.0,3.75,0,0,0,0,0,0,0,1
21,9992.25,5.0,0,0,0,1,0,0,0,0
22,9992.25,5.0,0,0,0,0,0,0,0,1
23,9987.25,5.5,0,0,0,0,0,0,1,0
24,9976.25,6.25,0,0,0,0,0,0,1,0
25,9963.75,7.25,0,0,0,0,0,0,0,1
26,9956.5,6.25,0,0,0,0,0,0,0,1
27,9950.25,7.5,0,0,0,0,0,0,0,1
28,9942.75,9.0,0,0,0,0,0,0,0,1
29,9933.75,10.75,0,0,0,0,0,0,0,1
30,9923.0,10.0,0,0,0,0,0,0,0,1
31,9913.0,8.0,0,0,0,1,0,0,0,0
32,9913.0,7.75,0,0,0,0,0,0,0,1
33,9905.25,7.5,0,0,0,1,0,0,0,0
34,9905.25,8.25,0,1,0,0,0,0,0,0
35,9913.5,7.0,0,1,0,0,0,0,0,0
36,9920.5,7.5,0,0,0,0,0,0,0,1
37,9913.0,9.0,0,0,1,0,0,0,0,0
38,9931.0,10.5,0,0,0,0,0,0,0,1
39,9920.5,1.0,0,0,0,0,0,1,0,0
40,9919.5,1.0,0,1,0,0,0,0,0,0
41,9920.5,1.0,0,1,0,0,0,0,0,0
42,9921.5,1.0,0,0,0,0,0,0,0,1
43,9920.5,1.0,1,0,0,0,0,0,0,0
44,9922.0,1.0,0,0,0,0,0,0,0,1
45,9921.0,1.0,0,0,0,0,0,0,0,1
46,9920.0,1.0,0,0,0,0,0,0,0,1
47,9919.0,1.0,0,0,0,0,0,0,0,1
48,9918.0,1.0,1,0,0,0,0,0,0,0
49,9919.5,1.0,0,0,0,0,0,1,0,0
50,9918.5,1.0,0,0,0,0,0,0,0,1
51,9917.5,1.0,0,0,0,0,0,0,0,1
52,9916.5,1.0,0,0,0,0,0,0,1,0
53,9914.5,1.0,0,0,0,0,0,0,0,2
54,9912.5,1.0,0,1,0,0,0,0,0,0
55,9913.5,1.0,0,0,1,0,0,0,0,0
56,9915.5,1.0,0,0,0,0,0,1,0,0
57,9914.5,1.0,0,1,0,0,0,0,0,0
58,9915.5,1.0,0,1,0,0,0,0,0,0
59,9916.5,1.0,0,1,0,0,0,0,0,0
60,9917.5,1.0,0,1,0,0,0,0,0,0
61,9918.5,1.0,0,1,0,0,0,0,0,0
62,9919.5,1.0,0,1,0,0,0,0,0,0
63,9920.5,1.0,0,0,0,1,0,0,0,0
64,9920.5,1.0,0,0,0,0,0,0,0,1
65,9919.5,1.0,0,1,0,0,0,0,0,0
66,9920.5,1.0,0,0,0,0,0,0,0,1
67,9919.5,1.0,0,0,0,1,0,0,0,0
68,9919.5,1.0,0,1,0,0,0,0,0,0
69,9920.5,1.0,0,0,0,0,0,0,0,1
70,9919.5,1.0,0,1,0,0,0,0,0,0
71,9920.5,1.0,0,0,0,0,0,0,0,1
72,9919.5,1.0,0,1,0,0,0,0,0,0
73,9920.5,1.0,0,0,0,0,0,0,0,1
74,9919.5,1.0,0,0,1,0,0,0,0,0
75,9921.5,1.0,0,0,0,1,0,0,0,0
76,9921.5,1.0,0,0,0,0,0,1,0,0
77,9920.5,1.0,0,0,0,0,0,0,0,1
78,9919.5,1.0,0,0,0,0,0,1,0,0
79,9918.5,1.0,0,0,0,0,0,0,1,0
80,9916.5,1.0,0,0,0,0,0,0,0,2
81,9914.5,1.0,0,0,0,0,0,0,0,1
82,9913.5,1.0,0,0,0,1,0,0,0,0
83,9913.5,1.0,0,0,0,0,0,1,0,0
84,9912.5,1.0,0,0,0,0,0,1,0,0
85,9911.5,1.0,0,0,0,0,0,0,0,1
86,9910.5,1.0,0,0,0,0,0,0,1,0
87,9908.5,1.0,0,1,0,0,0,0,0,0
88,9909.5,1.0,0,1,0,0,0,0,0,0
89,9910.5,1.0,0,0,0,0,0,1,0,0
90,9909.5,2.25,1,0,0,0,0,0,0,0
91,9912.875,2.25,0,0,0,0,0,1,0,0
92,9910.625,2.25,0,1,0,0,0,0,0,0
93,9912.875,2.25,0,0,0,0,0,0,0,1
94,9910.625,2.5,0,0,0,0,0,0,1,0
95,9905.625,4.0,0,1,0,0,0,0,0,0
96,9909.625,3.5,0,0,0,0,0,0,0,1
97,9906.125,3.5,0,0,0,0,0,0,0,1
98,9902.625,4.75,0,0,0,0,0,0,0,1
99,9897.875,5.0,0,0,0,0,0,0,0,1
100,9892.875,6.25,0,1,0,0,0,0,0,0
101,9899.125,6.25,0,0,0,0,0,0,0,1
102,9892.875,5.75,0,0,0,0,0,0,0,1
103,9887.125,4.5,0,0,0,0,0,1,0,0
104,9882.625,3.25,0,0,0,0,0,0,0,1
105,9879.375,4.0,0,0,0,1,0,0,0,0
106,9879.375,4.5,0,1,0,0,0,0,0,0
107,9883.875,4.5,0,0,0,0,0,0,0,1
108,9879.375,3.25,0,1,0,0,0,0,0,0
109,9882.625,3.5,0,1,0,0,0,0,0,0
110,9886.125,5.75,0,0,0,0,0,1,0,0
111,9880.375,6.0,0,0,0,0,0,0,0,1
112,9874.375,6.75,0,0,0,1,0,0,0,0
113,9874.375,5.75,0,0,0,0,0,1,0,0
114,9868.625,3.75,0,0,0,0,0,0,0,1
115,9864.875,1.75,1,0,0,0,0,0,0,0
116,9867.5,1.0,0,0,0,1,0,0,0,0
117,9867.5,1.0,0,1,0,0,0,0,0,0
118,9868.5,1.0,0,0,0,0,0,1,0,0
119,9867.5,1.0,0,0,0,1,0,0,0,0
120,9867.5,1.0,0,0,0,0,0,0,0,1
121,9866.5,1.0,0,1,0,0,0,0,0,0
122,9867.5,1.0,0,1,0,0,0,0,0,0
123,9868.5,1.0,0,0,0,1,0,0,0,0
124,9868.5,1.0,0,1,0,0,0,0,0,0
125,9869.5,1.0,1,0,0,0,0,0,0,0
126,9871.0,1.0,0,1,0,0,0,0,0,0
127,9872.0,1.0,0,0,0,0,0,0,0,1
128,9871.0,1.0,0,1,0,0,0,0,0,0
129,9872.0,1.0,0,1,0,0,0,0,0,0
130,9873.0,1.0,0,0,0,0,0,0,0,1
131,9872.0,1.0,1,0,0,0,0,0,0,0
132,9873.5,1.0,0,0,0,1,0,0,0,0
133,9873.5,1.0,0,0,0,0,0,0,0,1
134,9872.5,1.0,0,0,0,0,0,0,0,1
135,9871.5,1.0,1,0,0,0,0,0,0,0
136,9873.0,1.0,0,1,0,0,0,0,0,0
137,9874.0,1.0,0,0,0,0,0,0,0,1
138,9873.0,1.0,0,1,0,0,0,0,0,0
139,9874.0,1.0,0,0,0,0,0,0,0,1
140,9873.0,1.0,0,1,0,0,0,0,0,0
141,9874.0,1.0,0,1,0,0,0,0,0,0
142,9875.0,1.0,0,1,0,0,0,0,0,0
143,9876.0,1.0,0,0,0,0,0,1,0,0
144,9875.0,1.0,0,0,0,0,0,1,0,0
145,9874.0,1.0,0,0,0,0,0,1,0,0
146,9873.0,1.0,0,0,0,0,0,0,0,1
147,9872.0,1.0,0,1,0,0,0,0,0,0
148,9873.0,1.0,0,0,0,1,0,0,0,0
149,9873.0,1.0,0,1,0,0,0,0,0,0
150,9874.0,1.0,0,1,0,0,0,0,0,0
151,9875.0,1.0,0,0,0,0,0,0,0,1
152,9874.0,1.0,0,1,0,0,0,0,0,0
153,9875.0,1.0,0,1,0,0,0,0,0,0
154,9876.0,1.0,0,1,0,0,0,0,0,0
155,9877.0,1.0,0,0,0,0,0,1,0,0
156,9876.0,1.0,0,1,0,0,0,0,0,0
157,9877.0,1.0,0,0,0,0,0,1,0,0
158,9876.0,1.0,0,0,0,0,0,0,0,1
159,9875.0,1.0,0,0,0,0,0,0,0,1
160,9874.0,1.0,0,0,0,0,0,0,0,1
161,9873.0,1.0,0,0,0,0,0,0,0,1
162,9872.0,1.0,0,1,0,0,0,0,0,0
163,9873.0,1.0,0,0,0,0,0,0,0,1
164,9872.0,1.0,0,0,0,0,0,1,0,0
165,9871.0,1.0,0,0,0,1,0,0,0,0
166,9871.0,1.0,0,1,0,0,0,0,0,0
167,9872.0,1.0,0,1,0,0,0,0,0,0
168,9873.0,1.0,0,0,0,0,0,1,0,0
169,9872.0,1.0,0,1,0,0,0,0,0,0
170,9873.0,1.0,0,0,0,1,0,0,0,0
171,9873.0,1.0,0,0,0,0,0,0,0,1
172,9872.0,1.0,0,0,0,0,0,1,0,0
173,9871.0,1.0,0,0,0,0,0,0,0,1
174,9870.0,1.0,0,1,0,0,0,0,0,0
175,9871.0,1.0,0,0,0,0,0,1,0,0
176,9870.0,1.0,0,0,0,0,0,0,0,1
177,9869.0,2.0,1,0,0,0,0,0,0,0
178,9872.0,2.25,0,0,0,0,0,0,0,1
179,9869.75,3.0,0,0,0,0,0,0,0,2
180,9863.75,3.5,0,0,0,1,0,0,0,0
181,9863.75,2.0,0,1,0,0,0,0,0,0
182,9865.75,2.75,0,1,0,0,0,0,0,0
183,9868.5,3.25,0,1,0,0,0,0,0,0
184,9871.75,3.25,0,0,0,0,0,0,0,1
185,9868.5,2.5,0,0,0,0,0,0,0,1
186,9866.0,3.25,0,0,0,0,0,0,0,1
187,9862.75,2.75,0,0,0,0,0,1,0,0
188,9860.0,2.25,0,0,0,0,0,0,0,1
189,9857.75,2.0,0,1,0,0,0,0,0,0
190,9859.75,1.0,0,1,0,0,0,0,0,0
191,9860.75,1.5,0,0,1,0,0,0,0,0
192,9863.75,1.0,0,1,0,0,0,0,0,0
193,9864.75,1.0,0,0,0,0,0,0,0,1
194,9863.75,1.0,0,0,0,0,0,0,0,1
