Round,Money,Initial Bet,BLACKJACK,WIN,DOUBLE_WIN,PUSH,DOUBLE_BUST,BUST,DOUBLE_LOSE,LOSE
1,10000.0,1.0,0,0,0,0,0,0,0,1
2,9999.0,1.0,0,0,0,0,0,1,0,0
3,9998.0,1.0,1,0,0,0,0,0,0,0
4,9999.5,1.0,0,0,0,0,0,0,0,1
5,9998.5,1.0,0,1,0,0,0,0,0,1
6,9998.5,1.0,0,1,0,0,0,0,0,0
7,9999.5,1.0,0,1,0,0,0,0,0,0
8,10000.5,1.0,0,1,0,0,0,0,0,0
9,10001.5,1.0,0,0,0,0,0,0,1,0
10,9999.5,1.0,0,0,0,0,0,0,0,1
11,9998.5,1.0,0,1,0,0,0,0,0,0
12,9999.5,1.0,0,0,0,0,0,0,0,1
13,9998.5,1.0,0,0,0,0,0,0,0,1
14,9997.5,1.0,0,0,0,0,0,0,0,1
15,9996.5,1.0,0,0,0,0,0,0,1,0
16,9994.5,2.25,1,0,0,0,0,0,0,0
17,9997.875,1.75,0,0,0,0,0,0,0,1
18,9996.125,2.25,0,1,0,0,0,0,0,0
19,9998.375,1.75,0,0,0,0,0,0,1,0
20,9994.875,2.0,0,0,0,1,0,0,0,0
21,9994.875,1.0,0,0,0,0,0,0,0,1
22,9993.875,1.75,0,1,0,0,0,0,0,0
23,9995.625,1.0,1,0,0,0,0,0,0,0
24,9997.125,1.0,0,0,0,0,0,0,0,1
25,9996.125,1.0,0,0,0,0,0,0,0,2
26,9994.125,1.5,0,1,0,0,0,0,0,0
27,9995.625,1.5,0,0,1,0,0,0,0,0
28,9998.625,3.25,0,1,0,0,0,0,0,0
29,10001.875,3.5,0,0,0,1,0,0,0,0
30,10001.875,3.25,0,0,0,0,0,0,0,1
31,9998.625,2.25,0,1,0,0,0,0,0,0
32,10000.875,2.5,0,1,0,0,0,0,0,0
33,10003.375,3.75,0,0,0,0,0,0,0,1
34,9999.625,3.5,0,0,1,0,0,0,0,0
35,10006.625,5.25,0,0,0,0,0,0,0,1
36,10001.375,4.75,0,0,0,0,0,0,0,1
37,9996.625,4.0,0,1,0,0,0,0,0,0
38,10000.625,3.0,0,0,1,0,0,0,0,0
39,10006.625,1.0,0,1,0,0,0,0,0,0
40,10007.625,1.0,0,0,0,0,0,1,0,0
41,10006.625,1.0,0,0,0,1,0,0,0,0
42,10006.625,1.0,0,0,0,0,0,0,0,1
43,10005.625,1.0,0,1,0,0,0,0,0,0
44,10006.625,1.0,0,0,0,0,0,0,0,1
45,10005.625,1.0,0,1,0,0,0,0,0,0
46,10006.625,1.0,0,0,0,0,0,0,0,1
47,10005.625,1.0,0,0,0,0,0,0,0,1
48,10004.625,1.0,0,0,0,0,0,0,0,1
49,10003.625,1.0,0,0,0,0,0,0,0,1
50,10002.625,1.0,0,0,0,1,0,0,0,0
51,10002.625,1.0,0,0,0,0,0,0,0,1
52,10001.625,1.0,0,0,0,0,0,0,0,1
53,10000.625,1.0,0,0,0,0,0,0,1,0
54,9998.625,1.0,0,0,0,0,0,0,0,1
55,9997.625,1.0,0,0,0,0,0,0,0,2
56,9995.625,1.0,0,0,1,0,0,0,0,0
57,9997.625,1.0,0,0,0,0,0,0,1,0
58,9995.625,1.0,0,2,0,0,0,0,0,0
59,9997.625,1.0,0,0,0,0,0,0,0,1
60,9996.625,1.0,0,0,0,0,0,0,0,1
61,9995.625,1.0,0,0,1,0,0,0,0,0
62,9997.625,1.0,0,0,0,0,0,1,0,0
63,9996.625,1.0,0,1,0,0,0,0,0,0
64,9997.625,1.0,0,1,0,0,0,0,0,0
65,9998.625,1.0,0,1,0,0,0,0,0,0
66,9999.625,1.0,0,0,1,0,0,0,0,0
67,10001.625,1.0,0,1,0,0,0,0,0,0
68,10002.625,1.0,0,1,0,0,0,0,0,0
69,10003.625,1.0,0,0,0,0,0,0,0,1
70,10002.625,1.0,0,0,0,0,0,0,0,1
71,10001.625,1.0,0,1,0,0,0,0,0,1
72,10001.625,1.0,0,0,1,0,0,0,0,0
73,10003.625,1.0,0,0,0,1,0,0,0,0
74,10003.625,1.0,0,1,0,0,0,0,0,0
75,10004.625,1.0,1,0,0,0,0,0,0,0
76,10006.125,1.0,0,0,0,0,0,0,0,1
77,10005.125,1.0,0,0,0,0,0,0,0,1
78,10004.125,1.0,0,1,0,0,0,0,0,0
79,10005.125,1.0,0,0,0,0,0,0,0,1
80,10004.125,1.0,0,1,0,0,0,0,0,0
81,10005.125,1.0,0,1,0,0,0,0,0,0
82,10006.125,1.0,0,1,0,0,0,0,0,0
83,10007.125,1.0,0,0,0,0,0,0,0,1
84,10006.125,1.0,0,1,0,0,0,0,0,0
85,10007.125,1.0,0,0,0,0,0,1,0,0
86,10006.125,1.0,0,0,0,1,0,0,0,0
87,10006.125,1.0,0,0,0,0,0,0,0,1
88,10005.125,1.0,0,0,0,0,0,1,0,0
89,10004.125,1.0,0,0,0,1,0,0,0,0
90,10004.125,1.0,0,1,0,0,0,0,0,0
91,10005.125,1.0,0,0,0,0,0,0,0,1
92,10004.125,1.0,0,0,0,0,0,1,0,0
93,10003.125,1.0,0,1,0,0,0,0,0,0
94,10004.125,1.0,0,0,0,0,0,0,0,1
95,10003.125,1.0,0,0,0,0,0,0,0,1
96,10002.125,1.0,0,0,0,0,0,0,0,1
97,10001.125,1.0,0,0,0,0,0,0,0,1
98,10000.125,1.0,0,0,0,0,0,0,0,1
99,9999.125,1.0,0,0,0,0,0,0,0,1
100,9998.125,1.0,0,0,0,0,0,1,0,0
101,9997.125,1.0,0,0,0,0,0,1,0,0
102,9996.125,1.0,0,1,0,0,0,0,0,0
103,9997.125,1.0,0,0,1,0,0,0,0,0
104,9999.125,1.0,0,1,0,0,0,0,0,0
105,10000.125,1.0,1,0,0,0,0,0,0,0
106,10001.625,1.0,0,0,0,0,0,1,0,0
107,10000.625,1.0,0,0,0,0,0,1,0,0
108,9999.625,1.0,0,0,0,1,0,0,0,0
109,9999.625,1.0,0,1,0,0,0,0,0,0
110,10000.625,1.0,0,0,0,0,0,0,1,0
111,9998.625,1.0,0,1,0,0,0,0,0,0
112,9999.625,1.0,1,0,0,0,0,0,0,0
113,10001.125,1.0,0,1,0,0,0,0,0,0
114,10002.125,1.0,0,1,0,0,0,0,0,0
115,10003.125,1.0,0,0,0,0,0,0,0,1
116,10002.125,1.0,0,0,1,0,0,0,0,0
117,10004.125,1.0,0,0,0,0,0,0,0,1
118,10003.125,1.0,0,0,0,0,0,0,1,0
119,10001.125,1.0,0,0,0,1,0,0,0,0
120,10001.125,1.0,0,0,0,0,0,1,0,0
121,10000.125,1.0,0,0,0,0,0,0,1,0
122,9998.125,1.0,0,0,0,0,0,0,0,1
123,9997.125,1.0,1,0,0,0,0,0,0,0
124,9998.625,1.0,0,0,0,0,0,0,0,1
125,9997.625,1.0,0,1,0,0,0,0,0,0
126,9998.625,1.0,0,1,0,0,0,0,0,0
127,9999.625,1.0,0,0,0,0,0,0,0,1
128,9998.625,1.0,0,0,0,0,0,1,0,0
129,9997.625,1.0,0,0,0,0,0,0,0,1
130,9996.625,1.0,0,0,0,0,0,1,0,0
131,9995.625,1.0,0,1,0,0,0,0,0,0
132,9996.625,1.0,0,0,0,0,0,0,0,1
133,9995.625,1.0,1,0,0,0,0,0,0,0
134,9997.125,1.0,0,0,0,0,0,0,0,1
135,9996.125,1.0,0,0,0,0,0,1,0,0
136,9995.125,1.0,1,0,0,0,0,0,0,0
137,9996.625,1.0,0,0,0,0,0,0,0,1
138,9995.625,1.0,1,0,0,0,0,0,0,0
139,9997.125,1.0,0,0,0,0,0,1,0,0
140,9996.125,1.0,0,1,0,0,0,0,0,0
141,9997.125,1.0,0,0,0,0,0,0,0,1
142,9996.125,1.0,0,0,0,0,0,0,0,1
143,9995.125,1.0,0,0,0,0,0,0,0,1
144,9994.125,1.0,0,1,0,0,0,0,0,0
145,9995.125,1.0,0,0,1,0,0,0,0,0
146,9997.125,1.0,0,0,0,1,0,0,0,0
147,9997.125,1.0,0,0,0,0,0,0,0,1
148,9996.125,1.0,0,0,0,0,0,0,1,0
149,9994.125,1.0,0,0,0,1,0,0,0,0
150,9994.125,1.0,0,0,0,1,0,0,0,0
151,9994.125,1.0,0,1,0,0,0,0,0,0
152,9995.125,1.0,0,0,0,0,0,1,0,0
153,9994.125,1.0,1,0,0,0,0,0,0,0
154,9995.625,1.0,0,1,0,0,0,0,0,0
155,9996.625,1.0,0,1,0,0,0,0,0,0
156,9997.625,1.0,0,1,0,0,0,0,0,0
157,9998.625,1.0,0,0,0,0,0,1,0,0
158,9997.625,1.0,0,0,0,0,0,1,0,0
159,9996.625,1.0,0,1,0,0,0,0,0,0
160,9997.625,1.0,0,0,0,0,0,0,0,1
161,9996.625,1.0,0,0,0,1,0,0,0,0
162,9996.625,1.5,0,0,0,0,0,1,0,0
163,9995.125,2.0,0,0,0,0,0,0,1,0
164,9991.125,2.25,0,1,0,0,0,0,0,0
165,9993.375,2.75,0,0,0,0,0,1,0,0
166,9990.625,2.5,0,0,0,0,0,1,0,0
167,9988.125,2.25,0,1,0,0,0,0,0,0
168,9990.375,2.5,0,0,0,0,0,0,0,1
