Round,Money,Initial Bet,BLACKJACK,WIN,DOUBLE_WIN,PUSH,DOUBLE_BUST,BUST,DOUBLE_LOSE,LOSE
1,10000.0,1.0,0,0,1,0,0,0,0,0
2,10002.0,1.0,0,0,0,0,0,0,0,1
3,10001.0,1.0,0,0,0,0,0,1,0,0
4,10000.0,1.0,0,1,0,0,0,0,0,0
5,10001.0,1.0,0,0,0,0,0,0,0,1
6,10000.0,1.0,0,0,1,0,0,0,0,0
7,10002.0,1.5,0,2,0,0,0,0,0,0
8,10005.0,2.0,0,0,1,0,0,0,0,0
9,10009.0,3.0,0,0,0,0,0,0,0,1
10,10006.0,2.5,0,0,0,0,0,1,0,0
11,10003.5,2.5,0,0,0,0,0,0,1,0
12,9998.5,2.75,0,0,0,1,0,0,0,0
13,9998.5,1.0,0,0,0,1,0,0,0,0
14,9998.5,1.0,0,0,0,0,0,0,0,1
15,9997.5,1.0,0,0,0,0,0,0,0,1
16,9996.5,1.75,0,0,0,0,0,0,0,1
17,9994.75,2.5,0,1,0,0,0,0,0,0
18,9997.25,3.25,0,1,0,0,0,0,0,0
19,10000.5,3.25,0,0,0,1,0,0,0,0
20,10000.5,3.0,0,1,0,0,0,0,0,0
21,10003.5,1.75,0,0,0,0,0,0,0,1
22,10001.75,3.75,0,0,0,0,0,0,0,1
23,9998.0,4.5,0,0,0,0,0,0,0,1
24,9993.5,4.5,0,1,0,0,0,0,0,0
25,9998.0,3.75,0,1,0,0,0,0,0,0
26,10001.75,2.75,0,0,1,0,0,0,0,0
27,10007.25,3.0,0,0,0,0,0,0,1,0
28,10001.25,3.0,1,1,0,0,0,0,0,0
29,10008.75,1.5,0,0,0,0,0,1,0,0
30,10007.25,1.0,0,1,0,0,0,0,0,0
31,10008.25,1.0,0,0,1,0,0,0,0,0
32,10010.25,1.25,0,0,0,0,0,1,0,0
33,10009.0,1.0,0,0,0,1,0,0,0,0
34,10009.0,1.0,0,0,0,0,0,0,0,1
35,10008.0,1.0,1,0,0,0,0,0,0,0
36,10009.5,1.0,0,0,0,0,0,0,0,1
37,10008.5,1.0,0,0,0,0,0,0,0,1
38,10007.5,1.0,0,1,0,0,0,0,0,1
39,10007.5,1.0,0,0,0,1,0,0,0,0
40,10007.5,1.0,0,2,0,0,0,0,0,0
41,10009.5,1.0,0,0,0,0,0,0,0,1
42,10008.5,1.0,0,1,0,0,0,0,0,0
43,10009.5,1.0,0,1,0,0,0,0,0,0
44,10010.5,1.0,0,0,0,0,0,1,0,0
45,10009.5,1.0,0,1,0,0,0,0,0,0
46,10010.5,1.0,0,1,0,0,0,0,0,0
47,10011.5,1.0,0,0,0,0,0,1,0,0
48,10010.5,1.0,0,0,0,0,0,1,0,0
49,10009.5,1.0,0,0,1,0,0,0,0,0
50,10011.5,1.0,0,1,0,0,0,0,0,0
51,10012.5,1.0,0,0,0,0,0,0,0,1
52,10011.5,1.0,0,0,0,0,0,0,0,1
53,10010.5,1.0,0,0,1,0,0,0,0,0
54,10012.5,1.75,0,0,0,0,0,0,0,1
55,10010.75,2.0,0,1,0,0,0,0,0,0
56,10012.75,1.5,0,0,0,0,0,0,0,1
57,10011.25,2.5,0,1,0,0,0,0,0,0
58,10013.75,2.75,0,1,0,0,0,0,0,0
59,10016.5,2.5,0,1,0,0,0,0,0,0
60,10019.0,1.75,0,0,0,0,0,0,0,1
61,10017.25,2.75,0,1,0,0,0,0,0,0
62,10020.0,4.5,0,1,0,0,0,0,0,0
63,10024.5,4.5,0,1,0,0,0,0,0,0
64,10029.0,5.0,0,1,0,0,0,0,0,0
65,10034.0,3.0,0,0,0,0,0,0,0,1
66,10031.0,4.5,0,0,0,0,0,0,0,1
67,10026.5,6.5,0,1,0,0,0,0,0,0
68,10033.0,6.25,0,1,0,0,0,0,0,0
69,10039.25,5.5,0,1,0,0,0,0,0,0
70,10044.75,7.75,0,0,0,1,0,0,0,0
71,10044.75,11.0,0,0,1,0,0,0,0,0
72,10066.75,11.5,0,1,0,0,0,0,0,0
73,10078.25,10.5,0,1,0,0,0,0,0,0
74,10088.75,9.75,0,0,0,0,0,1,0,0
75,10079.0,1.0,0,0,0,0,0,0,0,1
76,10078.0,1.0,0,1,0,0,0,0,0,0
77,10079.0,1.0,0,1,0,0,0,0,0,0
78,10080.0,1.0,0,1,0,0,0,0,0,0
79,10081.0,1.0,0,0,1,0,0,0,0,0
80,10083.0,1.0,0,0,0,0,0,0,0,1
81,10082.0,1.0,0,0,0,0,0,0,0,1
82,10081.0,1.0,0,1,0,0,0,0,0,0
83,10082.0,1.0,0,0,1,0,0,0,0,0
84,10084.0,1.0,0,0,1,0,0,0,0,0
85,10086.0,1.0,0,0,0,0,0,0,0,1
86,10085.0,1.0,0,1,0,0,0,0,0,0
87,10086.0,1.0,0,1,0,0,0,0,0,0
88,10087.0,1.0,0,1,0,0,0,0,0,0
89,10088.0,1.0,0,0,0,0,0,0,0,1
90,10087.0,1.0,0,1,0,0,0,0,0,0
91,10088.0,1.0,0,0,1,0,0,0,0,0
92,10090.0,1.0,0,1,0,0,0,0,0,0
93,10091.0,1.0,0,1,0,0,0,0,0,0
94,10092.0,1.0,0,0,0,0,0,1,0,0
95,10091.0,1.0,0,1,0,0,0,0,0,0
96,10092.0,1.0,0,0,0,0,0,1,0,0
97,10091.0,1.0,0,1,0,0,0,0,0,0
98,10092.0,1.0,0,1,0,0,0,0,0,0
99,10093.0,1.0,0,0,0,0,0,1,0,0
100,10092.0,1.0,0,0,0,0,0,1,0,0
101,10091.0,1.0,0,0,0,0,0,0,0,1
102,10090.0,1.0,0,0,0,0,0,1,0,0
103,10089.0,1.0,0,0,0,0,0,1,0,0
104,10088.0,1.0,0,0,0,0,0,0,0,1
105,10087.0,1.0,0,0,0,0,0,0,0,1
106,10086.0,1.0,0,0,0,0,0,0,0,1
107,10085.0,1.0,0,0,0,0,0,0,0,1
108,10084.0,1.0,0,0,0,0,0,0,0,1
109,10083.0,1.0,0,0,0,0,0,0,0,1
110,10082.0,1.0,0,1,0,0,0,0,0,0
111,10083.0,1.0,0,0,0,0,0,0,0,1
112,10082.0,1.0,0,0,1,0,0,0,0,0
113,10084.0,1.0,0,0,0,0,0,0,0,1
114,10083.0,1.0,0,0,0,1,0,0,0,0
115,10083.0,1.0,0,1,0,0,0,0,0,0
116,10084.0,1.0,1,0,0,0,0,0,0,0
117,10085.5,1.0,0,0,0,0,0,0,0,1
118,10084.5,1.0,0,1,0,0,0,0,0,0
119,10085.5,1.0,0,0,0,0,0,0,0,1
120,10084.5,1.0,0,0,1,0,0,0,0,0
121,10086.5,1.0,0,1,0,0,0,0,0,0
122,10087.5,1.0,0,0,1,0,0,0,0,0
123,10089.5,1.0,0,0,0,0,0,0,0,1
124,10088.5,1.0,0,0,0,1,0,0,0,0
125,10088.5,1.0,0,1,0,0,0,0,0,0
126,10089.5,1.0,0,0,0,0,0,1,0,0
127,10088.5,1.0,0,1,0,0,0,0,0,0
128,10089.5,1.0,0,1,0,0,0,0,0,0
129,10090.5,1.0,0,1,0,0,0,0,0,0
130,10091.5,1.0,0,0,0,0,0,0,0,1
131,10090.5,1.0,0,2,0,0,0,0,0,0
132,10092.5,1.0,0,1,0,0,0,0,0,0
133,10093.5,1.0,0,0,0,0,0,0,1,0
134,10091.5,1.0,0,0,0,1,0,0,0,0
135,10091.5,1.0,0,1,0,0,0,0,0,0
136,10092.5,1.0,0,0,0,1,0,0,0,0
137,10092.5,1.0,0,0,1,0,0,0,0,0
138,10094.5,1.0,0,0,0,0,0,0,0,1
139,10093.5,1.0,0,0,0,0,0,0,0,1
140,10092.5,1.0,0,1,0,0,0,0,0,0
141,10093.5,1.0,0,1,0,0,0,0,0,0
142,10094.5,1.0,0,0,0,0,0,0,0,1
143,10093.5,1.0,0,0,0,0,0,0,0,1
144,10092.5,1.0,0,0,1,0,0,0,0,0
145,10094.5,1.0,0,0,0,0,0,0,0,1
146,10093.5,1.0,0,1,0,0,0,0,0,0
147,10094.5,1.0,0,0,0,0,0,0,0,1
148,10093.5,1.0,0,1,0,0,0,0,0,0
149,10094.5,1.0,0,0,0,0,0,1,0,0
150,10093.5,1.0,0,1,0,0,0,0,0,0
151,10094.5,1.0,0,0,0,0,0,0,0,1
152,10093.5,1.0,1,0,0,0,0,0,0,0
153,10095.0,1.0,0,1,0,0,0,0,0,0
154,10096.0,1.0,0,1,0,0,0,0,0,0
155,10097.0,1.0,0,1,0,0,0,0,0,0
156,10098.0,1.0,0,1,0,0,0,0,0,0
157,10099.0,1.0,0,1,0,0,0,0,0,0
158,10100.0,1.0,0,0,0,0,0,0,0,1
159,10099.0,1.0,0,0,0,0,0,0,0,1
160,10098.0,1.0,0,0,0,0,0,1,0,0
161,10097.0,1.0,0,0,0,0,0,0,0,1
162,10096.0,1.0,0,0,1,0,0,0,0,0
163,10098.0,1.0,0,0,0,0,0,1,0,0
164,10097.0,1.0,0,0,0,1,0,0,0,0
165,10097.0,1.0,0,0,0,0,0,1,0,0
166,10096.0,1.0,0,0,0,1,0,0,0,0
167,10096.0,1.0,0,0,0,0,0,1,0,0
168,10095.0,1.0,0,0,0,0,0,0,0,1
169,10094.0,1.0,0,0,0,0,0,0,0,1
170,10093.0,2.0,0,1,0,0,0,0,0,0
171,10095.0,3.0,0,0,0,0,0,0,0,1
172,10092.0,2.75,0,1,0,0,0,0,0,0
173,10094.75,3.25,0,0,0,0,0,1,0,0
174,10091.5,3.0,0,1,0,0,0,0,0,0
175,10094.5,3.75,0,0,0,0,0,0,0,1
176,10090.75,2.5,0,0,0,1,0,0,0,0
177,10090.75,2.0,0,0,0,1,0,0,0,0
178,10090.75,3.25,0,1,0,0,0,0,0,0
179,10094.0,2.0,0,1,0,0,0,0,0,0
180,10096.0,2.5,0,2,0,0,0,0,0,0
181,10101.0,4.25,0,0,0,0,0,0,1,0
182,10092.5,5.25,0,1,0,0,0,0,0,0
183,10097.75,5.0,1,0,0,0,0,0,0,0
184,10105.25,3.5,0,0,0,0,0,0,0,1
185,10101.75,2.25,0,0,0,1,0,0,0,0
186,10101.75,2.5,0,1,0,0,0,0,0,0
187,10104.25,2.0,0,0,0,0,0,1,0,0
188,10102.25,2.0,0,1,0,0,0,0,0,0
189,10104.25,1.0,0,0,0,1,0,0,0,0
190,10104.25,1.0,0,0,1,0,0,0,0,0
191,10106.25,1.0,0,0,0,1,0,0,0,0
192,10106.25,1.0,0,0,0,0,0,0,0,1
193,10105.25,1.0,0,1,0,0,0,0,0,0
194,10106.25,1.0,0,0,0,0,0,0,0,1
195,10105.25,1.0,0,1,0,0,0,0,0,0
196,10106.25,1.0,0,1,0,0,0,0,0,0
197,10107.25,1.0,0,0,0,0,0,0,0,1
198,10106.25,1.0,0,1,0,0,0,0,0,0
199,10107.25,1.0,0,0,0,0,0,0,0,1
200,10106.25,1.0,0,0,0,1,0,0,0,0
201,10106.25,1.0,0,0,0,0,0,0,1,0
202,10104.25,1.0,0,0,0,0,0,1,0,0
203,10103.25,1.0,0,0,1,0,0,0,0,0
204,10105.25,1.0,0,0,0,1,0,0,0,0
205,10105.25,1.0,0,1,0,0,0,0,0,0
206,10106.25,1.0,0,1,0,0,0,0,0,0
207,10107.25,1.0,0,0,0,0,0,0,0,1
208,10106.25,1.0,0,0,0,0,0,1,0,0
209,10105.25,1.0,0,1,0,0,0,0,0,0
210,10106.25,1.0,0,0,1,0,0,0,0,0
211,10108.25,1.0,0,0,0,0,0,1,0,0
212,10107.25,1.0,0,0,0,0,0,0,0,1
213,10106.25,1.0,0,0,0,0,0,1,0,0
214,10105.25,1.0,0,0,0,0,0,0,0,1
215,10104.25,1.0,0,0,0,0,0,1,0,0
216,10103.25,1.0,0,0,0,0,0,0,1,0
217,10101.25,1.0,0,0,0,0,0,0,0,1
218,10100.25,1.0,0,1,0,0,0,0,0,0
219,10101.25,1.0,0,0,0,1,0,0,0,0
220,10101.25,1.0,0,1,0,0,0,0,0,0
221,10102.25,1.0,0,2,0,0,0,0,0,0
222,10104.25,1.0,1,0,0,0,0,0,0,0
223,10105.75,1.0,0,0,0,0,0,0,0,1
224,10104.75,1.0,0,1,0,0,0,0,0,0
225,10105.75,1.0,0,2,0,0,0,0,0,0
226,10107.75,1.0,0,1,0,0,0,0,0,0
227,10108.75,1.0,0,1,0,0,0,0,0,0
228,10109.75,1.0,0,0,0,0,0,1,0,0
229,10108.75,1.0,0,1,0,0,0,0,0,0
230,10109.75,1.0,0,0,0,0,0,0,0,1
231,10108.75,1.0,0,1,0,0,0,0,0,0
232,10109.75,1.0,0,0,0,0,0,0,1,0
233,10107.75,1.0,1,0,0,0,0,0,0,0
234,10109.25,1.0,0,1,0,0,0,0,0,0
235,10110.25,1.0,0,0,0,0,0,0,0,1
236,10109.25,1.0,0,0,0,0,0,0,0,1
237,10108.25,1.0,0,0,0,0,0,1,0,0
238,10107.25,1.0,0,0,0,0,0,0,0,1
239,10106.25,1.0,0,0,1,0,0,0,0,0
240,10108.25,1.0,0,0,0,1,0,0,0,0
241,10108.25,1.0,0,0,0,0,0,0,0,1
242,10107.25,1.0,0,0,1,0,0,0,0,0
243,10109.25,1.0,0,0,0,0,0,0,0,1
244,10108.25,1.0,0,0,0,0,0,0,0,1
245,10107.25,1.0,0,0,0,0,0,0,1,0
246,10105.25,1.0,0,0,0,0,0,0,0,1
247,10104.25,1.0,0,1,0,0,0,0,0,0
248,10105.25,1.0,0,0,1,0,0,0,0,0
249,10107.25,1.0,0,0,0,0,0,0,0,1
250,10106.25,1.0,0,1,0,0,0,0,0,0
251,10107.25,1.0,0,0,0,0,0,0,0,1
252,10106.25,1.0,0,0,0,0,0,0,0,1
253,10105.25,1.0,0,0,0,0,0,0,0,1
254,10104.25,1.0,0,1,0,0,0,0,0,0
255,10105.25,1.0,0,2,0,0,0,0,0,0
256,10107.25,1.0,0,0,0,0,0,0,1,0
257,10105.25,1.0,0,0,0,0,0,1,0,0
258,10104.25,1.0,0,0,0,0,0,0,0,1
259,10103.25,1.0,0,1,0,0,0,0,0,0
260,10104.25,1.0,0,0,0,0,0,0,0,1
261,10103.25,1.0,0,0,0,1,0,0,0,0
262,10103.25,1.0,0,1,0,0,0,0,0,0
263,10104.25,1.0,0,0,1,0,0,0,0,0
264,10106.25,1.0,0,0,0,0,0,1,0,0
265,10105.25,1.0,0,1,0,0,0,0,0,0
266,10106.25,1.0,0,0,0,0,0,0,0,1
267,10105.25,1.0,0,0,0,1,0,0,0,0
268,10105.25,1.0,0,0,0,0,0,0,0,1
269,10104.25,1.0,0,1,0,0,0,0,0,0
270,10105.25,1.0,0,0,0,1,0,0,0,0
271,10105.25,1.0,0,0,0,0,0,1,0,0
272,10104.25,1.0,0,0,0,0,0,0,0,1
273,10103.25,1.0,0,0,0,1,0,0,0,0
274,10103.25,1.0,0,0,0,0,0,0,1,0
275,10101.25,1.0,0,0,0,0,0,0,0,1
276,10100.25,1.0,0,0,1,0,0,0,0,0
277,10102.25,1.0,0,1,0,0,0,0,0,0
278,10103.25,1.0,0,0,0,0,0,1,0,0
279,10102.25,1.0,0,1,0,0,0,0,0,0
280,10103.25,1.0,0,0,0,1,0,0,0,0
281,10103.25,1.0,0,1,0,0,0,0,0,0
282,10104.25,1.0,0,0,0,0,0,0,0,1
283,10103.25,1.0,0,0,0,0,0,0,0,1
284,10102.25,1.0,0,1,0,0,0,0,0,0
285,10103.25,1.0,0,0,0,1,0,0,0,0
286,10103.25,1.0,0,1,0,0,0,0,0,0
287,10104.25,1.0,0,1,0,0,0,0,0,0
288,10105.25,1.0,0,0,0,0,0,0,0,1
289,10104.25,1.0,0,0,0,0,0,0,1,0
290,10102.25,1.0,0,0,0,0,0,0,1,0
291,10100.25,1.0,0,0,0,0,0,0,0,1
292,10099.25,1.0,0,0,1,0,0,0,0,0
293,10101.25,1.0,0,1,0,0,0,0,0,0
294,10102.25,1.0,0,1,0,0,0,0,0,0
295,10103.25,1.0,0,1,0,0,0,0,0,0
296,10104.25,1.0,0,0,0,0,0,0,0,1
297,10103.25,1.0,0,0,0,0,0,0,0,1
298,10102.25,1.0,1,0,0,0,0,0,0,0
299,10103.75,1.0,0,0,0,1,0,0,0,0
300,10103.75,1.0,0,1,0,0,0,0,0,0
301,10104.75,1.0,0,0,0,0,0,0,0,1
302,10103.75,1.25,0,0,1,0,0,0,0,0
303,10106.25,3.25,0,0,0,0,0,0,0,1
304,10103.0,1.0,0,0,0,1,0,0,0,0
305,10103.0,1.0,0,1,0,0,0,0,0,0
