Round,Money,Initial Bet,BLACKJACK,WIN,DOUBLE_WIN,PUSH,DOUBLE_BUST,BUST,DOUBLE_LOSE,LOSE
1,10000.0,1.0,0,0,0,0,0,1,0,0
2,9999.0,1.0,0,0,0,0,0,0,0,1
3,9998.0,1.0,0,0,0,0,0,0,0,1
4,9997.0,1.0,0,1,0,0,0,0,0,0
5,9998.0,1.0,0,1,0,0,0,0,0,0
6,9999.0,1.0,0,0,0,1,0,0,0,0
7,9999.0,1.0,0,1,0,0,0,0,0,0
8,10000.0,1.0,0,0,0,0,0,0,0,1
9,9999.0,1.0,0,0,0,1,0,0,0,0
10,9999.0,1.0,0,0,0,1,0,0,0,0
11,9999.0,1.0,0,2,0,0,0,0,0,0
12,10001.0,1.0,0,1,0,0,0,0,0,0
13,10002.0,1.0,0,0,0,0,0,0,0,1
14,10001.0,1.0,0,0,0,0,0,0,0,1
15,10000.0,1.75,1,0,0,0,0,0,0,0
16,10002.625,1.0,0,1,0,0,0,0,0,0
17,10003.625,1.25,0,1,0,0,0,0,0,0
18,10004.875,1.0,0,1,0,0,0,0,0,0
19,10005.875,1.0,0,0,0,0,0,0,0,1
20,10004.875,2.25,0,0,0,0,0,0,1,0
21,10000.375,2.75,0,0,0,0,0,0,0,1
22,9997.625,2.75,0,0,0,0,0,0,1,0
23,9992.125,3.0,0,1,0,0,0,0,0,0
24,9995.125,3.0,0,0,0,0,0,0,1,0
25,9989.125,4.0,0,0,1,0,0,0,0,0
26,9997.125,3.0,0,0,0,0,0,0,0,1
27,9994.125,4.5,0,0,0,0,0,1,0,0
28,9989.625,4.0,0,0,0,0,0,1,0,0
29,9985.625,4.75,0,0,0,0,0,0,0,1
30,9980.875,6.25,0,0,0,0,0,1,0,0
31,9974.625,6.5,0,1,0,0,0,0,0,0
32,9981.125,7.75,0,0,0,0,0,0,0,1
33,9973.375,7.5,0,1,0,0,0,0,0,0
34,9980.875,6.25,0,0,0,0,0,0,0,1
35,9974.625,4.5,0,1,0,0,0,0,0,0
36,9979.125,1.0,0,1,0,0,0,0,0,0
37,9980.125,1.0,0,1,0,0,0,0,0,0
38,9981.125,1.0,0,0,0,0,0,1,0,0
39,9980.125,1.0,0,0,0,0,0,0,0,1
40,9979.125,1.0,0,0,0,0,0,0,0,1
41,9978.125,1.0,0,0,0,0,0,0,1,0
42,9976.125,1.0,0,1,0,0,0,0,0,0
43,9977.125,1.0,0,0,0,0,0,1,0,0
44,9976.125,1.5,0,0,0,0,0,0,1,0
45,9973.125,3.25,0,2,0,0,0,0,0,0
46,9979.625,2.5,0,1,0,0,0,0,0,0
47,9982.125,1.75,0,0,0,0,0,0,0,1
48,9980.375,1.25,0,1,0,0,0,0,0,0
49,9981.625,1.0,0,0,0,0,0,0,0,1
50,9980.625,1.0,0,1,0,0,0,0,0,0
51,9981.625,1.75,0,0,0,1,0,0,0,0
52,9981.625,1.25,0,0,0,0,0,1,0,0
53,9980.375,1.25,0,0,0,0,0,1,0,0
54,9979.125,1.0,0,0,0,0,0,1,0,0
55,9978.125,1.0,0,1,0,0,0,0,0,0
56,9979.125,1.0,0,0,0,1,0,0,0,0
57,9979.125,1.0,0,1,0,0,0,0,0,0
58,9980.125,2.0,0,1,0,0,0,0,0,0
59,9982.125,2.75,0,1,0,0,0,0,0,0
60,9984.875,2.25,0,0,0,1,0,0,0,0
61,9984.875,1.0,0,1,0,0,0,0,0,0
62,9985.875,3.75,0,0,0,0,0,1,0,0
63,9982.125,2.5,0,1,0,0,0,0,0,0
64,9984.625,1.75,0,0,1,0,0,0,0,0
65,9988.125,2.0,0,1,0,0,0,0,0,0
66,9990.125,1.25,0,0,0,0,0,0,0,1
67,9988.875,1.5,0,0,0,0,0,0,0,1
68,9987.375,2.5,0,0,0,0,0,0,0,1
69,9984.875,1.5,0,0,0,0,0,0,0,1
70,9983.375,1.25,0,1,0,0,0,0,0,0
71,9984.625,1.0,0,1,0,0,0,0,0,0
72,9985.625,1.0,0,0,0,0,0,0,0,1
73,9984.625,1.0,0,0,0,0,0,1,0,0
74,9983.625,1.0,0,0,0,0,0,0,0,1
75,9982.625,1.0,0,0,0,0,0,0,0,1
76,9981.625,1.0,0,0,0,0,0,0,0,1
77,9980.625,1.0,0,1,0,0,0,0,0,0
78,9981.625,1.0,0,1,0,0,0,0,0,0
79,9982.625,1.0,0,1,0,0,0,0,0,0
