Round,Money,Initial Bet,BLACKJACK,WIN,DOUBLE_WIN,PUSH,DOUBLE_BUST,BUST,DOUBLE_LOSE,LOSE
1,10000.0,1.0,0,0,1,0,0,0,0,0
2,10002.0,1.0,0,1,0,0,0,0,0,0
3,10003.0,1.0,0,0,0,0,0,0,0,1
4,10002.0,1.0,0,0,0,0,0,0,0,1
5,10001.0,1.0,0,0,0,0,0,0,1,0
6,9999.0,1.0,1,0,0,1,0,0,0,0
7,10000.5,1.0,0,0,0,0,0,1,0,0
8,9999.5,1.0,0,0,0,0,0,0,0,1
9,9998.5,1.0,0,0,0,0,0,0,0,1
10,9997.5,1.0,0,0,0,0,0,0,0,1
11,9996.5,1.0,0,0,0,0,0,0,0,1
12,9995.5,1.0,0,0,0,0,0,1,0,0
13,9994.5,1.0,0,0,0,1,0,0,0,0
14,9994.5,1.0,0,0,0,0,0,0,0,1
15,9993.5,1.0,0,0,0,1,0,0,0,0
16,9993.5,1.0,0,1,0,0,0,0,0,0
17,9994.5,1.0,0,1,0,0,0,0,0,0
18,9995.5,1.0,0,1,0,0,0,0,0,0
19,9996.5,1.0,0,0,0,1,0,0,0,0
20,9996.5,1.0,0,1,0,0,0,0,0,0
21,9997.5,1.0,0,0,0,0,0,1,0,0
22,9996.5,1.0,0,0,0,0,0,0,1,0
23,9994.5,1.0,0,1,0,0,0,0,0,0
24,9995.5,1.0,1,0,0,0,0,0,0,0
25,9997.0,1.0,0,1,0,0,0,0,0,0
26,9998.0,1.0,0,1,0,0,0,0,0,0
27,9999.0,1.0,1,0,0,0,0,0,0,0
28,10000.5,1.0,0,1,0,0,0,0,0,0
29,10001.5,1.0,0,0,0,0,0,0,0,1
30,10000.5,1.0,0,0,0,0,0,0,0,1
31,9999.5,1.0,0,1,0,0,0,0,0,0
32,10000.5,1.0,0,0,0,0,0,1,0,0
33,9999.5,1.0,0,0,0,0,0,1,0,0
34,9998.5,1.0,0,0,0,0,0,0,0,1
35,9997.5,1.0,0,1,0,0,0,0,0,0
36,9998.5,1.0,0,1,0,0,0,0,0,0
37,9999.5,1.0,0,0,0,0,0,0,0,1
38,9998.5,1.0,0,0,0,0,0,0,0,1
39,9997.5,1.0,0,1,0,0,0,0,0,0
40,9998.5,1.0,1,0,0,0,0,0,0,0
41,10000.0,1.0,0,1,0,0,0,0,0,0
42,10001.0,1.0,0,0,0,0,0,0,0,1
43,10000.0,1.0,0,1,0,0,0,0,0,0
44,10001.0,1.0,0,0,0,0,0,0,1,0
45,9999.0,1.0,0,1,0,0,0,0,0,0
46,10000.0,1.0,0,0,0,0,0,0,1,0
47,9998.0,1.0,0,0,0,0,0,1,0,0
48,9997.0,1.0,0,1,0,0,0,0,0,0
49,9998.0,1.0,0,0,0,0,0,0,0,1
50,9997.0,1.0,0,0,1,0,0,0,0,0
51,9999.0,1.0,0,0,0,0,0,0,0,1
52,9998.0,1.0,0,1,0,0,0,0,0,0
53,9999.0,1.0,0,2,0,0,0,0,0,0
54,10001.0,1.0,0,0,0,0,0,0,1,0
55,9999.0,1.0,0,0,0,1,0,0,0,0
56,9999.0,1.0,0,0,0,0,0,0,0,1
57,9998.0,1.0,0,2,0,0,0,0,0,0
58,10000.0,1.0,0,0,0,0,0,0,1,0
59,9998.0,1.0,0,0,0,0,0,0,0,1
60,9997.0,1.0,0,0,0,1,0,0,0,0
61,9997.0,1.0,0,0,0,0,0,1,0,0
62,9996.0,1.0,0,1,0,0,0,0,0,0
63,9997.0,1.0,0,0,0,0,0,0,0,1
64,9996.0,1.0,0,0,0,0,0,0,0,1
65,9995.0,1.0,0,0,0,0,0,1,0,0
66,9994.0,1.0,0,0,0,0,0,0,0,1
67,9993.0,1.0,0,1,0,0,0,0,0,0
68,9994.0,1.0,0,1,0,0,0,0,0,0
69,9995.0,1.0,0,0,0,1,0,0,0,0
70,9995.0,1.0,0,0,0,0,0,0,0,1
71,9994.0,1.0,0,1,0,0,0,0,0,0
72,9995.0,1.0,1,0,0,0,0,0,0,0
73,9996.5,1.0,0,0,0,0,0,1,0,0
74,9995.5,1.0,0,1,0,0,0,0,0,0
75,9996.5,1.0,0,1,0,0,0,0,0,0
76,9997.5,1.0,0,0,0,0,0,0,0,1
77,9996.5,1.0,0,1,0,0,0,0,0,0
78,9997.5,1.0,0,0,0,0,0,0,0,2
79,9995.5,1.0,0,1,0,0,0,0,0,0
80,9996.5,1.0,0,0,0,0,0,0,0,1
81,9995.5,1.0,0,0,0,0,0,0,0,1
82,9994.5,1.0,1,0,0,0,0,0,0,0
83,9996.0,1.0,0,0,0,0,0,0,0,1
84,9995.0,1.0,0,1,0,0,0,0,0,0
85,9996.0,1.0,0,0,0,0,0,1,0,0
86,9995.0,1.0,1,0,0,0,0,0,0,0
87,9996.5,1.0,0,0,0,0,0,0,0,1
88,9995.5,1.0,1,0,0,0,0,0,0,0
89,9997.0,1.0,0,1,0,0,0,0,0,0
90,9998.0,1.0,0,0,0,0,0,0,1,0
91,9996.0,1.0,0,0,0,1,0,0,0,0
92,9996.0,1.0,0,1,0,0,0,0,0,0
93,9997.0,1.0,0,0,1,0,0,0,0,0
94,9999.0,1.0,0,1,0,0,0,0,0,0
95,10000.0,1.0,0,0,0,0,0,0,0,1
96,9999.0,1.0,0,0,0,0,0,0,0,1
97,9998.0,1.0,0,0,0,0,0,0,0,1
98,9997.0,1.0,0,0,0,0,0,0,0,1
99,9996.0,1.0,0,0,0,0,0,0,0,1
100,9995.0,1.0,0,0,0,0,0,0,0,1
101,9994.0,1.0,0,1,0,0,0,0,0,0
102,9995.0,1.0,0,0,0,1,0,0,0,0
103,9995.0,1.0,0,0,1,0,0,0,0,0
104,9997.0,1.0,0,1,0,0,0,0,0,0
105,9998.0,1.0,0,0,0,0,0,0,0,1
106,9997.0,1.0,0,0,0,0,0,0,0,1
107,9996.0,1.0,0,0,0,1,0,0,0,1
108,9995.0,1.0,0,0,0,0,0,0,0,1
109,9994.0,1.0,0,0,0,0,0,0,0,1
110,9993.0,1.0,0,0,0,1,0,0,0,0
111,9993.0,1.0,0,0,0,0,0,1,0,0
112,9992.0,1.0,0,0,0,0,0,0,0,1
113,9991.0,1.0,0,0,0,0,0,0,0,1
114,9990.0,1.0,0,1,0,0,0,0,0,0
115,9991.0,1.0,0,0,0,0,0,0,0,1
116,9990.0,1.0,0,0,0,0,0,0,0,1
117,9989.0,1.0,0,1,0,0,0,0,0,0
