Round,Money,Initial Bet,BLACKJACK,WIN,DOUBLE_WIN,PUSH,DOUBLE_BUST,BUST,DOUBLE_LOSE,LOSE
1,10000.0,1.0,0,2,0,0,0,0,0,0
2,10002.0,1.0,0,0,0,0,0,0,0,1
3,10001.0,1.0,0,0,1,0,0,0,0,0
4,10003.0,1.0,0,0,0,0,0,1,0,0
5,10002.0,1.0,0,1,0,0,0,0,0,0
6,10003.0,1.0,0,0,0,0,0,0,1,0
7,10001.0,1.0,0,0,1,0,0,0,0,0
8,10003.0,1.0,0,0,0,0,0,0,0,1
9,10002.0,1.0,0,0,0,0,0,0,0,1
10,10001.0,1.0,0,0,0,1,0,0,0,0
11,10001.0,1.0,0,0,0,0,0,0,0,1
12,10000.0,1.0,0,0,0,0,0,0,0,1
13,9999.0,1.0,0,0,0,1,0,0,0,0
14,9999.0,1.0,0,0,0,0,0,0,0,1
15,9998.0,1.0,0,0,0,0,0,0,0,1
16,9997.0,1.0,0,1,0,0,0,0,0,0
17,9998.0,1.0,0,1,0,0,0,0,0,0
18,9999.0,1.0,0,1,0,0,0,0,0,0
19,10000.0,1.0,0,0,0,0,0,0,0,1
20,9999.0,1.0,0,0,0,0,0,0,0,1
21,9998.0,1.0,0,0,1,0,0,0,0,0
22,10000.0,1.5,0,0,0,0,0,0,1,0
23,9997.0,2.0,0,0,0,0,0,0,0,1
24,9995.0,2.5,0,0,0,0,0,0,0,1
25,9992.5,2.75,0,1,0,0,0,0,0,0
26,9995.25,4.0,0,1,0,0,0,0,0,0
27,9999.25,3.75,0,0,0,1,0,0,0,0
28,9999.25,6.0,0,0,0,0,0,1,0,0
29,9993.25,5.75,0,1,0,0,0,0,0,0
30,9999.0,5.0,0,1,0,0,0,0,0,0
31,10004.0,3.75,0,1,0,0,0,0,0,0
32,10007.75,3.5,0,0,0,0,0,0,1,0
33,10000.75,3.75,0,0,0,0,0,0,0,1
34,9997.0,2.75,0,0,1,0,0,0,0,0
35,10002.5,4.25,1,0,0,0,0,0,0,0
36,10008.875,2.25,0,0,0,0,0,0,0,1
37,10006.625,1.0,0,0,0,0,0,1,0,0
38,10005.625,1.25,0,1,0,0,0,0,0,0
39,10006.875,3.0,0,0,0,0,0,0,0,1
40,10003.875,1.0,0,0,1,0,0,0,0,0
41,10005.875,1.0,1,0,0,0,0,0,0,0
42,10007.375,1.0,0,0,0,0,0,0,0,1
43,10006.375,1.0,0,0,0,0,0,0,0,1
44,10005.375,1.0,0,0,0,0,0,0,0,1
45,10004.375,1.0,0,0,0,0,0,0,0,1
46,10003.375,1.0,0,0,1,0,0,0,0,0
47,10005.375,1.0,0,0,1,0,0,0,0,0
48,10007.375,1.0,1,0,0,0,0,0,0,0
49,10008.875,1.0,0,0,0,0,0,0,0,1
50,10007.875,1.0,0,0,0,0,0,1,0,0
51,10006.875,1.0,0,0,0,0,0,1,0,0
52,10005.875,1.0,0,0,0,1,0,0,0,0
53,10005.875,1.0,0,1,0,0,0,0,0,0
54,10006.875,1.0,0,0,0,1,0,0,0,0
55,10006.875,1.0,0,0,0,0,0,0,0,1
56,10005.875,1.0,0,0,0,0,0,0,0,1
57,10004.875,1.0,0,0,0,0,0,0,0,1
58,10003.875,1.0,0,1,0,0,0,0,0,0
59,10004.875,1.0,0,0,0,0,0,0,0,1
60,10003.875,1.0,0,0,0,0,0,0,0,1
61,10002.875,1.0,0,0,0,0,0,1,0,0
62,10001.875,1.0,0,0,0,0,0,1,0,0
63,10000.875,1.0,0,1,0,0,0,0,0,0
64,10001.875,1.0,0,0,0,0,0,1,0,0
65,10000.875,1.0,0,0,0,1,0,0,0,0
66,10000.875,1.0,0,0,0,0,0,0,0,1
67,9999.875,1.0,0,0,0,0,0,0,0,1
68,9998.875,1.0,0,0,0,0,0,0,0,1
69,9997.875,1.0,0,0,0,0,0,0,0,1
70,9996.875,1.0,0,0,0,0,0,1,0,0
71,9995.875,1.0,0,0,0,0,0,0,0,1
72,9994.875,1.0,0,1,0,0,0,0,0,0
73,9995.875,1.0,0,0,0,0,0,0,0,1
74,9994.875,1.0,0,1,0,0,0,0,0,0
75,9995.875,1.0,0,1,0,0,0,0,0,0
76,9996.875,1.0,0,1,0,0,0,0,0,0
77,9997.875,1.0,0,0,0,0,0,0,1,0
78,9995.875,1.0,0,1,0,0,0,0,0,0
79,9996.875,1.0,0,0,0,0,0,0,0,2
80,9994.875,1.0,0,0,0,0,0,0,0,1
81,9993.875,1.0,0,0,1,0,0,0,0,0
82,9995.875,1.0,0,0,0,0,0,1,0,0
83,9994.875,1.0,0,0,0,0,0,0,0,1
84,9993.875,1.0,0,1,0,0,0,0,0,0
85,9994.875,1.0,0,0,0,0,0,0,1,0
86,9992.875,1.0,0,0,0,0,0,0,0,1
87,9991.875,2.0,0,1,0,0,0,0,0,0
88,9993.875,1.0,0,0,0,0,0,0,0,1
89,9992.875,1.0,0,1,0,0,0,0,0,0
90,9993.875,1.0,0,1,0,0,0,0,0,0
91,9994.875,1.0,0,0,1,0,0,0,0,0
92,9996.875,1.0,0,0,0,0,0,0,0,1
93,9995.875,1.0,0,0,0,0,0,1,0,0
94,9994.875,1.0,0,0,0,0,0,1,0,0
95,9993.875,1.0,0,1,0,0,0,0,0,0
96,9994.875,1.0,0,0,0,0,0,1,0,0
97,9993.875,1.0,0,0,0,0,0,0,0,1
98,9992.875,1.5,0,0,1,0,0,0,0,0
99,9995.875,3.5,0,0,0,0,0,0,1,0
100,9988.875,3.5,0,0,0,0,0,0,0,1
101,9985.375,5.25,0,1,0,0,0,0,0,0
102,9990.625,7.0,0,1,0,0,0,0,0,0
103,9997.625,5.75,0,0,0,0,0,0,0,1
104,9991.875,7.25,0,0,0,1,0,0,0,0
105,9991.875,7.5,0,1,0,0,0,0,0,0
106,9999.375,7.0,0,1,0,0,0,0,0,0
107,10006.375,7.0,0,0,0,0,0,0,0,1
108,9999.375,8.5,0,0,0,1,0,0,0,1
109,9990.875,4.75,0,1,0,0,0,0,0,0
110,9995.625,4.75,0,0,0,0,0,0,0,1
111,9990.875,3.5,0,0,1,0,0,0,0,0
112,9997.875,2.75,0,0,0,0,0,1,0,0
113,9995.125,3.25,1,0,0,0,0,0,0,0
114,10000.0,2.25,0,0,0,0,0,1,0,0
115,9997.75,1.0,0,1,0,0,0,0,0,0
116,9998.75,1.0,0,0,0,0,0,0,0,1
117,9997.75,1.0,0,0,0,0,0,0,0,1
118,9996.75,1.0,0,0,0,0,0,0,0,1
119,9995.75,1.0,0,0,1,0,0,0,0,0
120,9997.75,1.0,0,1,0,0,0,0,0,0
121,9998.75,1.0,0,0,0,0,0,0,0,1
122,9997.75,1.0,0,0,0,0,0,0,0,1
123,9996.75,1.0,0,1,0,0,0,0,0,0
124,9997.75,1.0,0,0,0,0,0,0,0,1
125,9996.75,1.0,0,1,0,0,0,0,0,0
126,9997.75,1.0,0,1,0,0,0,0,0,0
127,9998.75,1.0,0,0,0,0,0,0,1,0
128,9996.75,1.0,0,0,0,0,0,0,0,1
129,9995.75,1.0,0,0,0,0,0,0,0,1
130,9994.75,1.0,0,1,0,0,0,0,0,0
131,9995.75,1.0,0,0,0,0,0,0,0,1
132,9994.75,1.0,0,1,0,0,0,0,0,0
133,9995.75,1.0,0,1,0,0,0,0,0,0
134,9996.75,1.0,0,0,0,0,0,1,0,0
135,9995.75,1.0,0,0,0,0,0,0,0,1
136,9994.75,1.0,0,1,0,0,0,0,0,0
137,9995.75,1.0,0,1,0,0,0,0,0,0
138,9996.75,1.0,0,0,0,0,0,1,0,0
139,9995.75,1.0,1,0,0,0,0,0,0,0
140,9997.25,1.0,0,0,0,1,0,0,0,0
141,9997.25,1.0,0,0,0,1,0,0,0,0
142,9997.25,1.0,0,1,0,0,0,0,0,0
143,9998.25,1.0,0,1,0,0,0,0,0,0
144,9999.25,1.0,0,0,0,0,0,0,0,1
145,9998.25,1.0,0,1,0,0,0,0,0,0
146,9999.25,1.0,0,1,0,0,0,0,0,0
147,10000.25,1.0,0,0,0,0,0,1,0,0
148,9999.25,1.0,0,1,0,0,0,0,0,0
149,10000.25,1.0,0,0,0,0,0,0,0,1
150,9999.25,1.0,0,0,0,0,0,0,0,1
151,9998.25,1.0,0,0,0,0,0,1,0,0
152,9997.25,1.0,0,0,0,0,0,0,0,1
153,9996.25,1.0,0,0,0,0,0,0,0,1
154,9995.25,1.0,0,0,0,0,0,0,0,1
155,9994.25,1.0,0,0,0,0,0,1,0,0
156,9993.25,1.0,0,1,0,0,0,0,0,0
157,9994.25,1.0,0,1,0,0,0,0,0,0
158,9995.25,1.0,0,0,0,0,0,0,0,1
159,9994.25,1.0,1,0,0,0,0,0,0,0
160,9995.75,1.0,0,1,0,0,0,0,0,0
161,9996.75,1.0,0,1,0,0,0,0,0,0
162,9997.75,1.0,0,1,0,0,0,0,0,0
163,9998.75,1.0,0,0,0,0,0,0,0,1
164,9997.75,1.0,0,0,0,0,0,0,0,1
165,9996.75,1.0,0,0,0,1,0,0,0,0
166,9996.75,1.0,0,0,0,0,0,0,0,1
167,9995.75,1.0,0,0,1,0,0,0,0,0
168,9997.75,1.0,0,0,0,0,0,0,0,1
169,9996.75,1.0,0,0,0,0,0,0,0,1
170,9995.75,1.0,0,0,1,0,0,0,0,0
171,9997.75,1.0,0,0,0,0,0,1,0,0
172,9996.75,1.0,0,0,0,0,0,0,0,2
173,9994.75,1.0,0,0,0,0,0,0,0,1
174,9993.75,1.0,0,1,0,0,0,0,0,0
175,9994.75,1.0,0,0,0,0,0,1,0,0
176,9993.75,1.0,0,1,0,0,0,0,0,0
177,9994.75,1.0,0,1,0,0,0,0,0,0
178,9995.75,1.0,1,0,0,0,0,0,0,0
179,9997.25,1.0,0,0,0,1,0,0,0,0
180,9997.25,1.0,0,0,0,0,0,0,0,1
181,9996.25,1.0,0,0,0,0,0,0,1,0
182,9994.25,1.0,0,1,0,0,0,0,0,0
183,9995.25,1.0,0,0,0,0,0,0,0,1
