Round,Money,Initial Bet,BLACKJACK,WIN,DOUBLE_WIN,PUSH,DOUBLE_BUST,BUST,DOUBLE_LOSE,LOSE
1,10000.0,1.0,0,0,0,1,0,0,0,0
2,10000.0,1.0,0,1,0,0,0,0,0,0
3,10001.0,1.0,0,0,1,0,0,0,0,0
4,10003.0,1.0,0,1,0,0,0,0,0,0
5,10004.0,1.0,0,1,0,0,0,0,0,0
6,10005.0,1.0,0,0,0,0,0,0,0,1
7,10004.0,1.0,0,1,0,0,0,0,0,0
8,10005.0,1.0,0,0,0,0,0,1,0,0
9,10004.0,1.0,0,0,0,0,0,0,0,1
10,10003.0,1.0,0,0,0,0,0,0,0,1
11,10002.0,1.0,0,0,0,0,0,0,0,1
12,10001.0,1.0,0,0,0,0,0,0,0,1
13,10000.0,1.0,0,1,0,0,0,0,0,0
14,10001.0,1.0,0,0,0,1,0,0,0,0
15,10001.0,1.0,1,0,0,0,0,0,0,0
16,10002.5,1.0,0,1,0,0,0,0,0,0
17,10003.5,1.0,0,0,0,0,0,0,0,1
18,10002.5,1.0,0,0,0,0,0,0,0,1
19,10001.5,1.0,0,0,0,0,0,0,0,1
20,10000.5,1.0,0,0,0,0,0,0,1,0
21,9998.5,1.0,0,1,0,0,0,0,0,0
22,9999.5,1.0,0,0,0,0,0,0,0,1
23,9998.5,1.0,0,0,1,0,0,0,0,0
24,10000.5,1.0,0,0,0,0,0,0,1,0
25,9998.5,1.0,0,1,0,0,0,0,0,0
26,9999.5,1.0,0,1,0,0,0,0,0,0
27,10000.5,1.0,0,0,1,0,0,0,0,0
28,10002.5,1.0,0,0,0,0,0,0,0,1
29,10001.5,1.0,0,0,0,0,0,0,0,1
30,10000.5,1.0,0,0,1,0,0,0,0,0
31,10002.5,1.0,0,0,0,0,0,0,0,1
32,10001.5,1.0,0,0,0,0,0,0,0,1
33,10000.5,2.5,0,0,0,0,0,0,0,1
34,9998.0,2.0,0,1,0,0,0,0,0,0
35,10000.0,2.0,0,1,0,0,0,0,0,0
36,10002.0,3.75,0,0,0,0,0,0,0,1
37,9998.25,1.5,1,0,0,0,0,0,0,0
38,10000.5,1.0,0,0,0,0,0,0,0,1
39,9999.5,1.0,0,1,0,0,0,0,0,0
40,10000.5,1.0,0,1,0,0,0,0,0,1
41,10000.5,1.0,0,0,0,0,0,0,0,1
