Round,Money,Initial Bet,BLACKJACK,WIN,DOUBLE_WIN,PUSH,DOUBLE_BUST,BUST,DOUBLE_LOSE,LOSE
1,10000.0,1.0,0,1,0,0,0,0,0,0
2,10001.0,1.0,0,1,0,0,0,0,0,0
3,10002.0,1.0,0,0,0,0,0,0,1,0
4,10000.0,1.0,0,0,0,0,0,0,0,1
5,9999.0,1.0,0,0,0,0,0,0,0,1
6,9998.0,1.0,0,1,0,0,0,0,0,0
7,9999.0,1.0,0,0,0,0,0,1,0,0
8,9998.0,1.0,0,0,0,0,0,0,0,1
9,9997.0,1.0,0,0,0,0,0,0,0,1
10,9996.0,1.0,0,0,0,1,0,0,0,0
11,9996.0,1.0,0,1,0,0,0,0,0,0
12,9997.0,1.0,0,0,0,0,0,0,0,1
13,9996.0,1.0,0,0,0,0,0,0,0,1
14,9995.0,1.0,0,1,0,0,0,0,0,0
15,9996.0,1.0,0,1,0,0,0,0,0,0
16,9997.0,1.0,0,1,0,0,0,0,0,0
17,9998.0,1.0,0,0,0,0,0,1,0,0
18,9997.0,1.0,0,1,0,0,0,0,0,0
19,9998.0,1.0,0,1,0,0,0,0,0,0
20,9999.0,1.0,0,1,0,0,0,0,0,0
21,10000.0,1.0,0,0,0,1,0,0,0,0
22,10000.0,1.0,0,1,0,0,0,0,0,0
23,10001.0,1.0,0,0,0,0,0,0,0,1
24,10000.0,1.0,0,0,0,1,0,0,0,0
25,10000.0,1.0,0,0,1,0,0,0,0,0
26,10002.0,1.0,0,0,1,0,0,0,0,0
27,10004.0,1.0,0,1,0,0,0,0,0,0
28,10005.0,1.0,0,0,0,0,0,0,0,1
29,10004.0,1.0,0,0,0,0,0,0,0,1
30,10003.0,1.0,0,1,0,0,0,0,0,0
31,10004.0,1.0,0,1,0,0,0,0,0,0
32,10005.0,1.0,0,0,0,0,0,0,0,1
33,10004.0,1.0,0,0,0,1,0,0,0,0
34,10004.0,1.0,0,0,0,0,0,0,0,1
35,10003.0,1.0,0,0,0,0,0,0,0,1
36,10002.0,1.0,1,0,0,0,0,0,0,0
37,10003.5,1.0,0,0,0,0,0,0,0,1
38,10002.5,1.0,0,0,0,0,0,0,0,1
39,10001.5,1.0,0,1,0,0,0,0,0,0
40,10002.5,1.0,0,0,0,1,0,0,0,0
41,10002.5,1.0,0,1,0,0,0,0,0,0
42,10003.5,1.0,0,1,0,0,0,0,0,0
43,10004.5,1.0,0,1,0,0,0,0,0,0
44,10005.5,1.0,0,1,0,0,0,0,0,0
45,10006.5,1.0,0,0,0,0,0,0,0,1
46,10005.5,1.0,0,0,0,0,0,0,0,1
47,10004.5,1.0,0,0,0,0,0,1,0,0
48,10003.5,1.0,1,0,0,0,0,0,0,0
49,10005.0,1.0,0,1,0,0,0,0,0,0
50,10006.0,1.0,0,0,0,0,0,0,0,1
51,10005.0,1.0,0,0,0,0,0,0,0,2
52,10003.0,1.0,0,0,0,0,0,1,0,0
53,10002.0,1.0,0,0,0,1,0,0,0,0
54,10002.0,1.0,0,0,0,0,0,0,0,1
55,10001.0,1.0,0,0,0,0,0,0,0,1
56,10000.0,1.0,0,0,0,0,0,0,0,1
57,9999.0,1.0,0,0,0,0,0,1,0,0
58,9998.0,1.0,0,0,0,1,0,0,0,0
59,9998.0,1.0,0,0,0,0,0,0,0,1
60,9997.0,1.0,0,1,0,0,0,0,0,0
61,9998.0,1.0,0,0,0,0,0,0,0,1
62,9997.0,1.0,0,0,0,0,0,0,0,1
63,9996.0,1.0,0,0,0,0,0,0,0,1
64,9995.0,1.0,0,0,0,0,0,0,1,0
65,9993.0,1.0,0,0,0,0,0,0,0,1
66,9992.0,1.0,0,0,0,0,0,0,0,1
67,9991.0,1.0,0,0,0,1,0,0,0,0
68,9991.0,1.0,0,1,0,0,0,0,0,0
69,9992.0,1.0,0,0,0,0,0,1,0,0
70,9991.0,1.0,0,1,0,0,0,0,0,0
71,9992.0,1.0,0,1,0,0,0,0,0,0
72,9993.0,1.0,0,0,0,1,0,0,0,0
73,9993.0,1.0,0,0,0,0,0,1,0,0
74,9992.0,1.0,0,1,0,0,0,0,0,0
75,9993.0,1.0,0,1,0,0,0,0,0,0
76,9994.0,1.0,0,0,0,0,0,0,0,1
77,9993.0,1.0,0,1,0,0,0,0,0,0
78,9994.0,1.0,0,0,0,0,0,0,0,1
79,9993.0,1.0,0,0,0,0,0,1,0,0
80,9992.0,1.0,0,0,0,0,0,0,0,1
81,9991.0,1.0,0,1,0,0,0,0,0,0
82,9992.0,1.0,0,1,0,0,0,0,0,0
83,9993.0,1.0,0,0,1,0,0,0,0,0
84,9995.0,1.0,0,0,0,0,0,0,0,1
85,9994.0,1.0,0,0,0,0,0,1,0,0
86,9993.0,1.0,0,0,0,0,0,0,1,0
87,9991.0,1.0,0,0,0,0,0,0,0,1
88,9990.0,1.0,1,0,0,0,0,0,0,0
89,9991.5,1.0,0,1,0,0,0,0,0,0
90,9992.5,1.0,0,0,0,0,0,0,1,0
91,9990.5,1.0,0,1,0,0,0,0,0,0
92,9991.5,1.0,0,0,0,0,0,0,0,1
93,9990.5,1.0,0,0,0,0,0,0,0,1
94,9989.5,1.0,0,1,0,0,0,0,0,0
95,9990.5,1.0,0,0,0,0,0,1,0,0
96,9989.5,1.0,0,1,0,0,0,0,0,0
97,9990.5,1.0,0,0,0,0,0,0,1,0
98,9988.5,1.0,0,0,0,0,0,1,0,0
99,9987.5,1.0,0,0,1,0,0,0,0,0
100,9989.5,1.0,0,1,0,0,0,0,0,0
101,9990.5,1.0,0,0,0,0,0,0,0,1
102,9989.5,1.0,0,1,0,0,0,0,0,0
103,9990.5,1.0,0,1,0,0,0,0,0,0
104,9991.5,1.0,0,1,0,0,0,0,0,0
105,9992.5,1.0,1,0,0,0,0,0,0,0
106,9994.0,1.0,0,1,0,0,0,0,0,0
107,9995.0,1.0,0,0,0,0,0,0,0,1
108,9994.0,1.0,0,0,0,0,0,0,0,2
109,9992.0,1.0,0,0,1,0,0,0,0,0
110,9994.0,1.0,0,1,0,0,0,0,0,0
111,9995.0,1.0,0,0,1,0,0,0,0,0
112,9997.0,1.0,0,1,0,0,0,0,0,0
113,9998.0,1.0,0,1,0,0,0,0,0,0
114,9999.0,1.0,0,0,0,0,0,0,0,1
115,9998.0,1.0,0,0,0,0,0,0,0,1
116,9997.0,1.0,0,0,0,0,0,0,0,1
117,9996.0,1.0,0,0,0,0,0,1,0,0
118,9995.0,1.0,0,1,0,0,0,0,0,0
119,9996.0,1.0,0,1,0,0,0,0,0,0
120,9997.0,1.0,0,0,0,0,0,0,0,1
121,9996.0,1.0,0,0,1,0,0,0,0,0
122,9998.0,1.0,0,1,0,0,0,0,0,0
123,9999.0,1.0,0,1,0,0,0,0,0,1
124,9999.0,1.0,0,0,0,0,0,0,0,1
125,9998.0,1.0,0,1,0,0,0,0,0,0
126,9999.0,1.0,0,0,0,0,0,1,0,0
127,9998.0,1.0,0,0,0,0,0,0,0,1
128,9997.0,1.0,0,0,0,0,0,1,0,0
129,9996.0,1.0,0,0,0,0,0,0,0,1
130,9995.0,1.0,0,1,0,0,0,0,0,0
131,9996.0,1.0,0,0,0,0,0,0,0,1
132,9995.0,1.0,0,2,0,0,0,0,0,0
133,9997.0,1.0,0,0,0,0,0,0,0,1
134,9996.0,2.0,0,0,0,0,0,0,0,1
135,9994.0,2.75,0,1,0,0,0,0,0,0
136,9996.75,2.75,1,0,0,0,0,0,0,0
137,10000.875,2.0,0,1,0,0,0,0,0,0
138,10002.875,2.5,0,0,1,0,0,0,0,0
139,10007.875,3.25,0,0,0,0,0,0,1,0
140,10001.375,3.25,0,0,0,0,0,0,0,1
141,9998.125,2.0,0,1,0,0,0,0,0,0
142,10000.125,3.0,0,0,0,0,0,0,0,1
143,9997.125,4.0,0,0,0,1,0,0,0,0
144,9997.125,3.25,0,1,0,0,0,0,0,0
145,10000.375,2.5,0,1,0,0,0,0,0,0
146,10002.875,1.5,0,1,0,0,0,0,0,0
147,10004.375,2.75,1,0,0,0,0,0,0,0
148,10008.5,1.75,0,1,0,0,0,0,0,0
149,10010.25,2.0,0,0,0,0,0,0,0,1
150,10008.25,2.0,0,0,1,0,0,0,0,0
151,10012.25,1.0,0,1,0,0,0,0,0,0
152,10013.25,1.0,0,1,0,0,0,0,0,0
153,10014.25,1.0,0,0,0,0,0,1,0,0
154,10013.25,1.0,0,0,0,0,0,1,0,0
155,10012.25,1.0,0,1,0,0,0,0,0,0
156,10013.25,1.0,0,1,0,0,0,0,0,0
157,10014.25,1.0,0,1,0,0,0,0,0,0
158,10015.25,1.0,0,0,0,0,0,0,0,2
159,10013.25,1.0,0,1,0,0,0,0,0,0
160,10014.25,1.0,0,1,0,0,0,0,0,0
161,10015.25,1.0,0,0,1,0,0,0,0,0
162,10017.25,1.0,0,0,0,0,0,0,0,1
163,10016.25,1.0,0,0,0,0,0,0,0,1
164,10015.25,1.0,0,1,0,0,0,0,0,0
165,10016.25,1.0,0,1,0,0,0,0,0,0
166,10017.25,1.0,0,1,0,0,0,0,0,0
167,10018.25,1.0,0,0,0,0,0,0,0,1
168,10017.25,1.0,0,0,0,0,0,1,0,0
169,10016.25,1.0,0,0,0,1,0,0,0,0
170,10016.25,1.0,0,0,0,0,0,1,0,0
171,10015.25,1.0,0,1,0,0,0,0,0,0
172,10016.25,1.25,0,0,0,0,0,0,0,1
173,10015.0,1.0,0,0,0,0,0,0,0,1
174,10014.0,1.0,0,0,0,0,0,0,0,1
175,10013.0,1.5,0,0,0,0,0,0,1,0
176,10010.0,2.75,0,0,0,0,0,0,0,1
177,10007.25,3.5,0,0,0,0,0,0,0,1
178,10003.75,4.0,0,0,0,0,0,0,0,1
179,9999.75,5.75,0,1,0,0,0,0,0,0
180,10005.5,5.25,0,0,0,0,0,0,0,1
181,10000.25,6.5,0,0,0,0,0,1,0,0
182,9993.75,5.75,0,0,0,0,0,0,0,1
183,9988.0,5.0,0,0,0,0,0,1,0,0
184,9983.0,5.25,0,1,0,0,0,0,0,0
185,9988.25,4.75,0,0,0,0,0,0,0,1
186,9983.5,5.25,0,0,0,0,0,1,0,0
187,9978.25,5.5,0,1,0,0,0,0,0,0
188,9983.75,6.25,0,1,0,0,0,0,0,0
189,9990.0,6.5,0,1,0,0,0,0,0,0
190,9996.5,6.5,0,0,0,0,0,0,0,1
191,9990.0,5.75,0,1,0,0,0,0,0,0
192,9995.75,6.0,0,0,0,0,0,0,0,1
193,9989.75,1.0,0,1,0,0,0,0,0,0
194,9990.75,1.0,0,1,0,0,0,0,0,0
195,9991.75,1.0,0,1,0,0,0,0,0,0
196,9992.75,1.0,0,0,0,0,0,1,0,0
197,9991.75,1.0,0,0,0,0,0,0,0,2
198,9989.75,1.0,0,0,0,0,0,0,0,1
199,9988.75,1.0,0,0,0,0,0,0,0,1
200,9987.75,1.0,0,0,0,0,0,0,0,1
201,9986.75,1.0,1,0,0,0,0,0,0,0
202,9988.25,1.0,0,0,0,0,0,0,0,1
203,9987.25,1.0,1,0,0,0,0,0,0,0
204,9988.75,1.0,0,0,0,0,0,0,0,1
205,9987.75,1.0,0,0,0,0,0,1,0,0
206,9986.75,1.0,0,0,0,1,0,0,0,0
207,9986.75,1.0,0,2,0,0,0,0,0,0
208,9988.75,1.0,0,1,0,0,0,0,0,0
209,9989.75,1.0,0,1,0,0,0,0,0,0
210,9990.75,1.0,0,0,0,0,0,0,0,1
211,9989.75,1.0,0,1,0,0,0,0,0,0
212,9990.75,1.0,0,1,0,0,0,0,0,0
213,9991.75,1.0,0,0,0,0,0,0,0,1
214,9990.75,1.0,0,0,0,0,0,0,0,1
215,9989.75,1.0,0,1,0,0,0,0,0,0
216,9990.75,1.0,0,0,1,0,0,0,0,0
